Rating	Rank	Name	Year	Weight	URL
RECOMMENDED	6	Twilight Imperium: Fourth Edition	2017	4.26/5.00	https://boardgamegeek.com/boardgame/233078
RECOMMENDED	14	Scythe	2016	3.43/5.00	https://boardgamegeek.com/boardgame/169786
BEST	17	Nemesis	2018	3.40/5.00	https://boardgamegeek.com/boardgame/167355
RECOMMENDED	19	Concordia	2013	3.01/5.00	https://boardgamegeek.com/boardgame/124361
RECOMMENDED	21	Terra Mystica	2012	3.97/5.00	https://boardgamegeek.com/boardgame/120677
RECOMMENDED	25	Viticulture Essential Edition	2015	2.89/5.00	https://boardgamegeek.com/boardgame/183394
RECOMMENDED	31	Eclipse: Second Dawn for the Galaxy	2020	3.57/5.00	https://boardgamegeek.com/boardgame/246900
RECOMMENDED	33	Food Chain Magnate	2015	4.20/5.00	https://boardgamegeek.com/boardgame/175914
RECOMMENDED	34	Puerto Rico	2002	3.28/5.00	https://boardgamegeek.com/boardgame/3076
RECOMMENDED	35	Caverna: The Cave Farmers	2013	3.79/5.00	https://boardgamegeek.com/boardgame/102794
RECOMMENDED	36	Blood Rage	2015	2.88/5.00	https://boardgamegeek.com/boardgame/170216
RECOMMENDED	39	Agricola	2007	3.64/5.00	https://boardgamegeek.com/boardgame/31260
RECOMMENDED	43	Mansions of Madness: Second Edition	2016	2.67/5.00	https://boardgamegeek.com/boardgame/205059
RECOMMENDED	45	The Crew: The Quest for Planet Nine	2019	1.99/5.00	https://boardgamegeek.com/boardgame/284083
RECOMMENDED	46	Pax Pamir: Second Edition	2019	3.82/5.00	https://boardgamegeek.com/boardgame/256960
BEST	49	Power Grid	2004	3.27/5.00	https://boardgamegeek.com/boardgame/2651
BEST	54	Star Wars: Imperial Assault	2014	3.30/5.00	https://boardgamegeek.com/boardgame/164153
RECOMMENDED	62	Eclipse	2011	3.70/5.00	https://boardgamegeek.com/boardgame/72125
BEST	75	7 Wonders	2010	2.32/5.00	https://boardgamegeek.com/boardgame/68448
RECOMMENDED	77	Lords of Waterdeep	2012	2.46/5.00	https://boardgamegeek.com/boardgame/110327
RECOMMENDED	78	Dominant Species	2010	4.04/5.00	https://boardgamegeek.com/boardgame/62219
RECOMMENDED	81	Architects of the West Kingdom	2018	2.76/5.00	https://boardgamegeek.com/boardgame/236457
RECOMMENDED	82	Keyflower	2012	3.34/5.00	https://boardgamegeek.com/boardgame/122515
BEST	83	El Grande	1995	3.05/5.00	https://boardgamegeek.com/boardgame/93
RECOMMENDED	84	Caylus	2005	3.80/5.00	https://boardgamegeek.com/boardgame/18602
BEST	85	Battlestar Galactica: The Board Game	2008	3.25/5.00	https://boardgamegeek.com/boardgame/37111
RECOMMENDED	86	Twilight Imperium: Third Edition	2005	4.25/5.00	https://boardgamegeek.com/boardgame/12493
